province,date,precipitation
Soc Trang,2020-10-11,28.30055802586179
Soc Trang,2020-10-12,19.157389442031118
Soc Trang,2020-10-13,18.764136041564726
Soc Trang,2020-10-14,36.953698431591214
Soc Trang,2020-10-15,25.574115422147187
Soc Trang,2020-10-16,27.535023934448215
Soc Trang,2020-10-17,17.90858420863754
Soc Trang,2020-10-18,29.995060126828797
Soc Trang,2020-10-19,0.8742131746612689
Soc Trang,2020-10-20,5.282813871532128
Soc Trang,2020-10-21,38.048514261938074
Soc Trang,2020-10-22,9.104369064978314
Soc Trang,2020-10-23,2.4631295643051554
Soc Trang,2020-10-24,1.1135728158932483
Soc Trang,2020-10-25,9.607139117560754
Soc Trang,2020-10-26,2.66848649961704
Soc Trang,2020-10-27,1.5351545665149207
Soc Trang,2020-10-28,5.778510760281052
Soc Trang,2020-10-29,5.1595202804187785
Soc Trang,2020-10-30,8.59287613695878
Soc Trang,2020-10-31,8.018255512380017
Soc Trang,2020-11-01,24.534803001304756
Soc Trang,2020-11-02,0.6479856022552012
Soc Trang,2020-11-03,0.0923103304037554
Soc Trang,2020-11-04,11.695647494412764
Soc Trang,2020-11-05,0
Soc Trang,2020-11-06,5.235873102815603
Soc Trang,2020-11-07,1.0415143054196643
Soc Trang,2020-11-08,8.13613412197973
Soc Trang,2020-11-09,1.6376952852672322
Soc Trang,2020-11-10,0.06213395970452198
Soc Trang,2020-11-11,0
Soc Trang,2020-11-12,0
Soc Trang,2020-11-13,0.140335679283282
Soc Trang,2020-11-14,0
Soc Trang,2020-11-15,0
Soc Trang,2020-11-16,0
Soc Trang,2020-11-17,0
Soc Trang,2020-11-18,0
Soc Trang,2020-11-19,2.1827067048972864
Soc Trang,2020-11-20,0
Soc Trang,2020-11-21,0.3574967008187509
Soc Trang,2020-11-22,0.8756102854654356
Soc Trang,2020-11-23,22.864908588829934
Soc Trang,2020-11-24,0
